371.25,96.13,12.24,2.65,0
440.75,69.31,24.72,2.65,0
386.88,82.75,11.26,2.65,0
337.69,81,5.77,2.65,0
317.69,104,1.31,2.65,0
465.31,92.56,9.87,3.25,0
459.63,87.13,12.19,2.25,0
396.38,91.25,5.49,2.66,0
408.56,84.94,14.1,2.66,0
438.25,89.75,9.62,3.99,0
337.81,98.25,7.68,2.44,0
309.5,91.88,4.36,3.19,0
554.5,92.75,12.01,2.7,0
544.5,81.63,10.44,3.13,0
526.56,80.25,8.18,2.27,0
542.88,83.5,9.41,1.9,0
472.88,88.38,6,1.94,0
500.63,95.13,14.63,3.19,0
500.25,93.94,9.37,4.08,0
556,87.88,10.54,2.29,0
539.31,75,12.51,2.24,0
497.13,81.94,16.28,1.82,0
324.13,85.5,5.83,1.98,0
559.88,86.69,12.52,2.86,0
546.13,76.94,10.91,2.86,0
532.25,88.25,4.36,2.86,0
536.56,77.69,9.92,2.9,0
570,106.94,6.99,3.92,0
534.63,90.69,12.89,3.42,0
529.44,89,7.8,2.13,0
442.44,90.13,9.87,4.06,0
572.13,78.69,10.22,1.87,0
530.88,168.25,2.51,2.54,0
526.06,124.88,3.71,3.4,0
534.44,39.38,1.82,3.4,0
572.19,38.13,3.25,3.4,0
552.25,63.25,4.39,2.03,0
545.06,84.63,3.97,4.08,0
512,111,3.18,4.08,0
553,51.94,1.27,4.08,0
541,94.31,1.91,4.08,0
552.38,47.88,2.77,3.92,0
555.44,84.25,8.94,1.72,0
566.69,45.38,4.05,1.92,0
577.25,70.88,3.42,3.08,0
544.56,40.88,0.39,2.83,0
519,98.94,0.81,2.83,0
543.06,94.56,10.09,1.79,0
547.06,46.81,13.93,4.06,0
539.5,75.44,2.32,4.06,0
520.63,39.56,1.84,4.06,0
521.81,66.63,6.37,1.95,0
537.25,113.31,4,2.75,0
517.31,61.5,0.95,1.72,0
522,72.31,1.65,3.94,0
551.25,74.06,9.07,4.09,0
518.5,42.19,3.11,2.83,0
500.13,40.69,0.71,2.23,0
543.44,90.81,3.91,4.08,0
550.81,111.94,6.42,2.3,0
517.25,45.25,7.4,4.09,0
541.88,162.5,5.98,3.68,0
520.06,40.56,2.29,1.82,0
563.94,39.81,0.3,3.39,0
563.75,41.75,4.05,2.22,0
558.31,78,8.1,4.08,0
350.38,45.63,4.48,2.7,0
467.44,67.94,6.17,2.88,0
398.75,95.19,9.31,1.84,0
329.94,43.88,4.55,2.31,0
355.06,37.69,7.76,4.08,0
385.38,82.44,3.65,4.08,0
285.25,83.94,7.3,4.08,0
316.5,132.31,3.82,4.02,0
331.5,69.31,12.26,2.07,0
355.94,71.88,0.21,3.76,0
352.44,89.06,5.27,3.1,0
370.19,84.13,0.24,3.1,0
610.94,51.06,1.43,4.08,0
